file,name,x,y,z,majorRadius,minorRadius
t120.tif,t120_cell_001,387.064758300781,96.2989807128906,13.4360656738281,20.1755065917969,20.1755065917969
t120.tif,t120_cell_002,337.919921875,103.415023803711,17.7623062133789,19.9794845581055,19.9794845581055
t120.tif,t120_cell_003,433.438293457031,107.224273681641,21.4008274078369,24.5065746307373,24.5065746307373
t120.tif,t120_cell_004,432.456359863281,110.940208435059,14.9528913497925,19.3214244842529,19.3214244842529
t120.tif,t120_cell_005,288.491577148438,111.06697845459,18.91845703125,19.1580677032471,19.1580677032471
t120.tif,t120_cell_006,378.280212402344,112.52653503418,17.9257659912109,20.1149349212646,20.1149349212646
t120.tif,t120_cell_007,494.078735351562,117.646690368652,17.1148700714111,24.7271194458008,24.7271194458008
t120.tif,t120_cell_008,334.947265625,125.068756103516,12.5963087081909,18,18
t120.tif,t120_cell_009,225.805618286133,126.001609802246,17.0495414733887,22.1493282318115,22.1493282318115
t120.tif,t120_cell_010,261.345703125,130.145141601562,11.2953720092773,18.1308841705322,17.9549751281738
t120.tif,t120_cell_011,461.026123046875,133.062805175781,10.3628740310669,18,18
t120.tif,t120_cell_012,402.576873779297,136.433654785156,8.51030158996582,18.3715000152588,18.3715000152588
t120.tif,t120_cell_013,508.068359375,137.301605224609,23.3065452575684,21.075138092041,21.075138092041
t120.tif,t120_cell_014,365.998352050781,143.017547607422,24.0769443511963,21.8403987884521,21.8403987884521
t120.tif,t120_cell_015,283.721252441406,145.196914672852,24.8568725585938,25.2016372680664,25.2016372680664
t120.tif,t120_cell_016,324.879058837891,146.645095825195,19.9737339019775,18,18
t120.tif,t120_cell_017,415.229614257812,151.141937255859,24.9697780609131,18.8484039306641,18.8484039306641
t120.tif,t120_cell_018,516.082458496094,152.89714050293,11.2408647537231,19.7546119689941,19.7546119689941
t120.tif,t120_cell_019,554.031372070312,158.98583984375,20.2567901611328,20.7064895629883,20.7064895629883
t120.tif,t120_cell_020,215.18962097168,163.538330078125,22.3213329315186,19.2435111999512,19.2435111999512
t120.tif,t120_cell_021,281.375549316406,164.502563476562,19.5908699035645,18.5208168029785,18.5208168029785
t120.tif,t120_cell_022,460.554534912109,164.597839355469,25.1081581115723,19.9292373657227,19.9292373657227
t120.tif,t120_cell_023,156.81526184082,166.947326660156,16.7830791473389,22.6336441040039,22.6336441040039
t120.tif,t120_cell_024,555.870361328125,168.187713623047,15.8884029388428,23.4520950317383,23.4520950317383
t120.tif,t120_cell_025,310.381469726562,172.353744506836,9.38599109649658,23.8881092071533,23.8881092071533
t120.tif,t120_cell_026,254.618591308594,175.698669433594,8.89867973327637,18.369213104248,18.369213104248
t120.tif,t120_cell_027,481.942687988281,177.675170898438,7.21149396896362,20.6638488769531,19.3961582183838
t120.tif,t120_cell_028,361.529174804688,177.818664550781,18.2808208465576,22.8467998504639,22.8467998504639
t120.tif,t120_cell_029,486.523681640625,178.0087890625,20.6061573028564,22.8979015350342,22.8979015350342
t120.tif,t120_cell_030,229.609558105469,181.49299621582,15.3491659164429,19.2967071533203,19.2967071533203
t120.tif,t120_cell_031,219.521636962891,182.626373291016,9.30090618133545,18.9578418731689,18.9578418731689
t120.tif,t120_cell_032,400.208343505859,186.350799560547,21.1333885192871,21.5018348693848,21.5018348693848
t120.tif,t120_cell_033,190.512145996094,186.674896240234,14.232795715332,18.2938804626465,18.2938804626465
t120.tif,t120_cell_034,443.699829101562,188.265899658203,15.5160694122314,20.8287181854248,20.5358371734619
t120.tif,t120_cell_035,381.56201171875,193.092132568359,9.42912101745605,23.2145195007324,22.2334289550781
t120.tif,t120_cell_036,252.541244506836,193.12158203125,25.2351970672607,19.4108123779297,19.4108123779297
t120.tif,t120_cell_037,167.236724853516,196.760452270508,21.9355411529541,21.3319931030273,21.3319931030273
t120.tif,t120_cell_038,304.653991699219,197.448211669922,17.3783016204834,21.493745803833,21.493745803833
t120.tif,t120_cell_039,552.853271484375,200.466217041016,23.7642612457275,20.553991317749,20.553991317749
t120.tif,t120_cell_040,445.435913085938,202.265914916992,10.4147291183472,23.9854717254639,23.9854717254639
t120.tif,t120_cell_041,306.334777832031,202.914413452148,24.4217338562012,20.0221843719482,20.0221843719482
t120.tif,t120_cell_042,396.576171875,203.240692138672,15.0053339004517,20.4147167205811,20.4147167205811
t120.tif,t120_cell_043,596.8056640625,207.010665893555,19.7544898986816,20.7196941375732,20.7196941375732
t120.tif,t120_cell_044,548.4560546875,207.861328125,9.36011219024658,21.2938861846924,21.2938861846924
