frame,gt_label,gt_x,gt_y,gt_z,nearest_lumen_dist,candidate_id,candidate_x,candidate_y,candidate_z,candidate_vox,candidate_signal
26,564,369.0,289.0,147.0,3.1476,19,366.533,290.918,147.378,4336,73.4464
26,610,445.0,379.0,133.0,3.8897,5,444.1,378.11,129.322,3481,102.028
26,625,510.0,349.0,119.0,2.7241,7,509.435,347.99,116.534,4303,93.754
27,66,191.0,361.0,112.0,3.8254,2,190.948,357.175,112.0,3920,110.342
27,130,221.0,190.0,168.0,4.9161,14,223.538,194.125,167.157,3067,83.6641
27,193,331.0,151.0,84.0,3.893,7,333.809,149.463,86.2142,3673,99.7825
27,448,512.0,230.0,168.0,15.2911,18,512.667,233.113,153.044,3124,68.2726
27,564,379.0,282.0,147.0,4.0706,20,382.08,282.604,149.592,4540,59.0984
27,610,444.0,385.0,133.0,2.2214,13,444.026,384.35,135.124,7977,90.7115
27,625,514.0,341.0,126.0,0.8588,10,513.959,341.853,125.909,5345,94.6114
28,66,194.0,364.0,105.0,4.9919,3,193.972,361.78,100.529,3198,105.782
28,130,220.0,198.0,175.0,6.7729,20,223.116,200.116,169.371,3514,81.7282
28,193,325.0,151.0,84.0,3.4065,7,328.048,150.1,85.2263,3438,95.3336
28,448,515.0,221.0,175.0,10.1843,24,514.196,221.334,164.853,2996,76.8053
28,564,398.0,273.0,154.0,6.6821,30,398.562,270.693,147.754,4112,66.2566
28,610,440.0,396.0,147.0,5.2772,8,439.748,396.15,141.731,8882,93.7884
28,625,522.0,331.0,119.0,3.1265,26,519.718,329.358,117.632,4693,74.7282
29,66,193.0,365.0,105.0,2.3459,5,192.99,363.312,103.371,3219,105.174
29,130,221.0,197.0,168.0,6.5935,22,226.893,199.907,167.456,2739,82.0096
29,193,325.0,148.0,84.0,3.4297,6,327.26,148.736,81.5274,3324,103.85
29,448,517.0,223.0,175.0,11.3525,28,516.624,228.383,165.012,3596,74.513
29,564,407.0,274.0,154.0,9.4485,31,410.595,269.495,146.513,4020,63.9367
29,610,432.0,401.0,147.0,14.6717,17,428.034,396.008,133.786,5144,86.5407
29,625,523.0,334.0,112.0,4.8563,15,525.971,330.504,113.592,4133,87.7203
30,66,189.0,356.0,112.0,3.4556,2,190.848,354.121,114.235,3094,107.444
30,130,237.0,192.0,161.0,5.3529,19,235.374,195.146,165.014,3667,84.2199
30,193,327.0,151.0,91.0,6.0713,5,332.791,150.337,92.6985,3319,99.8942
30,448,512.0,232.0,168.0,3.3946,30,512.158,234.292,165.501,2851,74.4353
30,564,413.0,286.0,161.0,4.3898,34,411.653,287.786,157.223,2968,63.7491
30,610,432.0,405.0,140.0,2.3956,8,430.754,403.199,139.029,3809,97.02
30,625,516.0,339.0,105.0,11.6063,25,521.752,330.487,110.399,3835,78.5288
31,66,203.0,351.0,126.0,3.9076,7,202.642,348.789,122.798,3413,100.986
31,130,241.0,190.0,161.0,3.798,18,243.03,192.346,163.191,2900,89.0263
31,193,319.0,151.0,91.0,0.547,2,319.126,151.487,90.7851,2878,106.072
31,448,514.0,229.0,168.0,11.4685,29,513.999,231.625,156.836,3076,76.2674
31,564,407.0,280.0,161.0,8.6643,31,412.21,277.753,154.452,3348,72.4882
31,610,437.0,405.0,154.0,2.0287,8,437.628,403.071,154.0,4852,97.478
31,625,512.0,344.0,105.0,1.2218,5,512.794,344.265,104.11,5454,102.884
32,66,195.0,354.0,133.0,8.2013,4,196.705,351.489,125.381,3417,107.941
32,130,252.0,190.0,161.0,3.1961,21,248.898,189.238,160.89,3132,81.9311
32,193,316.0,152.0,91.0,7.3072,6,313.736,151.528,84.0684,3033,102.129
32,448,511.0,235.0,161.0,9.8602,16,520.091,233.55,157.468,1966,86.8605
32,564,409.0,284.0,168.0,6.1917,32,412.333,288.461,170.707,3276,73.3437
32,610,446.0,402.0,147.0,6.8569,11,443.798,398.029,141.862,3433,90.8458
32,625,507.0,347.0,112.0,12.0393,8,511.053,342.121,101.767,5030,96.6505
33,66,198.0,346.0,140.0,6.3139,15,193.89,344.499,135.448,2629,76.5507
33,130,250.0,189.0,161.0,2.0252,7,251.555,188.861,159.71,2488,85.5997
33,193,309.0,144.0,91.0,5.4863,9,303.874,142.09,90.5806,3013,84.6665
33,448,509.0,228.0,168.0,12.999,18,512.815,229.43,155.656,2834,62.5874
33,564,403.0,280.0,161.0,8.1241,17,403.803,276.495,153.715,3634,66.1424
33,610,448.0,397.0,154.0,7.3011,3,451.521,390.604,154.0,3198,93.8698
33,625,506.0,357.0,112.0,7.0885,1,501.623,356.769,106.429,6536,99.0228
34,66,199.0,339.0,133.0,5.3902,11,197.135,337.229,128.263,3287,84.4743
34,130,262.0,184.0,168.0,5.1742,12,257.142,185.781,168.0,2908,82.7675
34,193,320.0,162.0,91.0,6.3422,8,314.423,160.464,93.6002,2834,86.7412
34,448,510.0,237.0,161.0,6.6012,18,508.93,234.808,154.866,3144,68.8965
34,564,397.0,275.0,154.0,4.7989,19,395.774,274.792,158.635,3341,65.6296
34,610,447.0,396.0,147.0,7.0751,3,446.792,390.65,142.375,3733,93.2384
34,625,497.0,354.0,112.0,7.7144,6,490.748,357.167,108.776,4229,89.0892
35,4,130.0,233.0,133.0,6.6683,25,135.994,230.078,133.0,3276,89.1998
35,35,163.0,209.0,91.0,2.3463,4,162.768,209.001,93.3348,7318,125.004
35,67,184.0,337.0,140.0,3.411,17,183.731,337.372,143.38,6072,103.58
35,98,226.0,362.0,105.0,1.6925,12,224.924,361.964,106.306,7306,110.348
35,131,224.0,198.0,154.0,4.1789,10,222.504,196.861,157.732,3404,111.94
35,162,286.0,169.0,161.0,0.927,15,285.936,168.873,161.916,2601,107.904
35,194,283.0,150.0,84.0,8.8673,5,282.455,149.675,92.8446,4078,123.024
35,225,354.0,152.0,77.0,2.4217,0,354.424,151.94,79.3835,2643,137.297
35,290,303.0,271.0,63.0,3.9805,6,302.514,270.809,66.9461,4015,121.368
35,386,390.0,131.0,147.0,9.065,9,390.68,130.349,156.016,4247,116.204
35,449,488.0,231.0,189.0,18.1718,31,483.175,229.645,171.533,3561,78.9253
35,480,524.0,242.0,154.0,3.0125,18,524.327,241.462,151.054,6026,103.444
35,564,381.0,272.0,154.0,5.6679,32,375.648,270.143,153.82,3235,70.797
35,610,436.0,392.0,154.0,13.6993,27,434.663,386.021,141.747,2929,88.083
35,625,489.0,360.0,112.0,5.8863,13,488.774,365.882,112.0,2216,109.282
35,703,566.0,288.0,112.0,2.372,11,564.66,287.8,110.053,4235,111.315
35,718,561.0,334.0,105.0,2.3206,2,559.676,333.664,106.876,2689,131.168
36,67,177.0,344.0,140.0,5.1617,31,178.823,347.187,136.372,3414,72.1796
36,98,233.0,367.0,98.0,1.1079,8,231.905,367.036,98.1646,4111,105.506
36,131,225.0,204.0,161.0,4.5249,18,223.422,204.788,165.167,3420,91.6028
36,162,279.0,164.0,161.0,4.8802,19,279.387,165.009,165.759,5471,90.9198
36,194,283.0,151.0,84.0,5.695,4,281.697,150.145,89.4776,4575,109.305
36,225,364.0,153.0,77.0,2.2754,2,364.085,151.929,79.0058,4375,110.572
36,290,318.0,266.0,63.0,5.0166,10,316.928,265.962,67.9006,3945,105.188
36,386,393.0,119.0,140.0,5.9274,13,393.967,119.109,145.847,5936,98.5914
36,449,467.0,216.0,196.0,29.519,35,467.352,213.089,166.627,3145,52.3559
36,480,524.0,242.0,154.0,18.6192,34,523.362,235.817,136.449,2932,61.0569
36,564,364.0,273.0,161.0,4.0644,32,362.43,274.513,157.57,3038,71.1503
36,610,421.0,387.0,168.0,9.2236,14,422.987,381.332,161.0,3684,97.7883
36,625,482.0,359.0,126.0,3.2417,6,483.486,356.119,126.0,5808,106.226
37,67,184.0,341.0,147.0,6.4543,32,189.754,343.924,147.0,4023,75.9842
37,98,224.0,371.0,105.0,6.1944,1,223.052,371.046,98.8787,5470,108.924
37,131,225.0,199.0,161.0,3.3402,35,225.091,197.209,163.818,2052,58.6052
37,162,284.0,167.0,161.0,2.0035,22,283.112,165.325,161.648,3092,88.536
37,194,279.0,148.0,98.0,1.6343,20,278.866,148.44,99.5682,1546,89.7732
37,225,366.0,161.0,77.0,1.3898,11,366.571,160.351,78.0883,7079,98.3895
37,290,314.0,267.0,70.0,1.1318,12,314.498,266.061,70.3889,5500,98.278
37,386,404.0,104.0,140.0,3.4251,4,403.126,102.543,137.026,5218,105.502
37,449,460.0,210.0,175.0,5.4874,26,458.631,208.002,170.076,4616,82.7649
37,480,528.0,245.0,161.0,6.0777,16,525.949,244.034,155.361,4708,93.6828
37,564,371.0,248.0,147.0,5.9619,31,371.202,250.964,152.169,3279,76.5147
37,610,404.0,376.0,154.0,4.8319,23,403.396,380.794,154.0,1849,86.3075
37,625,487.0,361.0,112.0,3.7386,10,485.574,358.79,114.657,3063,98.9464
38,67,183.0,339.0,161.0,8.0357,33,186.117,335.967,154.243,4053,75.7141
38,98,222.0,379.0,105.0,3.0405,4,222.228,378.275,102.056,6627,101.957
38,131,224.0,193.0,168.0,1.0129,19,223.805,192.275,167.32,4343,87.2875
38,162,288.0,160.0,161.0,6.0169,38,285.865,157.382,156.021,4556,64.2623
38,194,271.0,140.0,91.0,9.5897,26,272.058,144.305,99.5035,4101,81.6832
38,225,381.0,166.0,77.0,1.8468,6,380.906,166.03,75.1558,5053,99.6382
38,290,322.0,270.0,70.0,3.4921,5,321.043,269.862,66.6444,7041,101.14
38,386,403.0,98.0,140.0,5.4492,24,402.575,101.47,135.82,3578,84.1935
38,449,470.0,205.0,175.0,2.5757,29,468.792,203.073,173.791,4087,77.8843
38,480,531.0,250.0,154.0,3.8218,13,531.069,250.156,150.182,8917,92.151
38,564,376.0,247.0,154.0,3.0506,36,376.244,244.171,152.885,3650,70.5381
38,610,404.0,377.0,147.0,6.6683,25,401.779,373.6,141.711,2930,82.881
38,625,484.0,356.0,119.0,2.1902,0,485.586,354.636,118.351,4446,105.276
39,67,181.0,340.0,161.0,1.9211,5,179.608,339.771,159.696,7413,98.0883
39,98,227.0,387.0,91.0,1.6625,1,226.481,385.739,90.049,6854,107.281
39,131,215.0,202.0,168.0,9.4987,38,214.211,198.938,159.043,2902,69.4776
39,162,289.0,150.0,161.0,12.7103,34,285.263,149.752,148.854,5208,74.4677
39,194,255.0,149.0,91.0,4.3488,3,253.826,148.408,95.1453,7516,105.391
39,225,394.0,163.0,77.0,0.3787,6,394.271,162.736,77.0162,7339,97.9689
39,290,329.0,267.0,70.0,2.817,24,329.186,266.412,67.2513,5733,86.9166
39,386,397.0,102.0,147.0,8.0928,7,396.125,101.349,138.981,5143,97.9439
39,449,463.0,200.0,182.0,4.0551,29,462.578,198.961,178.103,5061,84.4839
39,480,537.0,254.0,161.0,8.7198,25,535.347,255.676,152.604,7098,86.5483
39,564,369.0,246.0,161.0,8.0337,37,374.961,249.192,156.662,3536,73.9221
39,610,400.0,378.0,140.0,4.093,22,400.437,374.101,138.834,3749,88.7613
39,625,480.0,355.0,119.0,4.3721,9,480.101,353.31,114.969,3175,97.1661
40,67,177.0,337.0,168.0,2.7903,10,177.012,335.856,165.455,6464,99.9604
40,98,215.0,386.0,91.0,2.894,4,214.596,383.875,89.0774,4929,102.632
40,131,213.0,201.0,168.0,9.8721,37,214.988,197.797,158.876,3502,72.7844
40,162,294.0,147.0,161.0,8.171,32,292.03,149.932,153.632,4037,78.2023
40,194,249.0,154.0,91.0,3.4815,14,250.819,153.359,88.1015,4396,99.0711
40,225,395.0,160.0,70.0,1.6331,13,394.672,159.579,71.5434,6903,99.1147
40,290,327.0,272.0,70.0,5.0588,12,325.938,271.672,65.0648,6062,99.385
40,386,384.0,109.0,154.0,5.8069,15,384.315,106.731,148.664,8831,98.7261
40,449,461.0,185.0,175.0,4.0792,38,462.268,181.208,174.192,4512,66.7838
40,480,546.0,248.0,168.0,18.0513,35,544.696,246.368,150.07,4130,74.618
40,564,375.0,249.0,161.0,9.7471,34,378.358,248.09,151.895,3548,75.1763
40,625,477.0,341.0,119.0,2.9399,20,475.433,343.109,117.681,3377,93.1415
41,67,171.0,336.0,154.0,4.8343,28,175.204,334.771,151.954,4090,85.323
41,98,217.0,385.0,98.0,7.6363,4,217.652,384.054,90.4506,3906,100.587
41,131,211.0,199.0,161.0,7.6481,39,215.74,195.211,156.345,3611,67.6345
41,162,292.0,152.0,161.0,1.1875,31,291.238,152.855,160.686,4380,78.4087
41,194,249.0,150.0,98.0,4.6129,9,252.752,151.249,95.6248,3506,95.8758
41,225,389.0,156.0,77.0,3.9885,0,388.802,155.717,73.0265,10803,105.68
41,290,321.0,274.0,70.0,2.5775,20,322.52,274.538,67.9891,10705,90.6653
41,386,382.0,110.0,147.0,3.9,13,383.32,112.115,144.001,4786,94.476
41,449,468.0,178.0,175.0,2.6772,22,467.583,175.363,174.801,10528,88.9659
41,480,554.0,239.0,168.0,17.5769,33,552.27,240.131,150.545,4322,77.51
