gt_label,start_frame,end_frame,length
174,161,194,34
191,161,194,34
192,161,194,34
400,161,194,34
401,161,194,34
685,161,194,34
686,161,194,34
145,162,194,33
146,162,194,33
153,162,194,33
154,162,194,33
415,162,194,33
416,162,194,33
64,162,194,33
65,162,194,33
109,163,194,32
110,163,194,32
112,163,194,32
113,163,194,32
150,163,194,32
151,163,194,32
18,163,194,32
188,163,194,32
189,163,194,32
19,163,194,32
205,163,194,32
206,163,194,32
208,163,194,32
209,163,194,32
285,163,194,32
286,163,194,32
431,163,194,32
432,163,194,32
463,163,194,32
464,163,194,32
61,163,194,32
62,163,194,32
682,163,194,32
683,163,194,32
281,164,194,31
282,164,194,31
33,164,194,31
34,164,194,31
453,164,194,31
454,164,194,31
49,164,194,31
50,164,194,31
518,164,194,31
519,164,194,31
120,165,194,30
121,165,194,30
124,165,194,30
125,165,194,30
278,165,194,30
279,165,194,30
329,165,194,30
330,165,194,30
460,165,194,30
461,165,194,30
475,165,194,30
476,165,194,30
533,165,194,30
534,165,194,30
86,165,194,30
87,165,194,30
15,166,194,29
16,166,194,29
216,166,194,29
217,166,194,29
273,166,194,29
274,166,194,29
304,166,194,29
305,166,194,29
326,166,194,29
327,166,194,29
336,166,194,29
337,166,194,29
408,166,194,29
409,166,194,29
421,166,194,29
422,166,194,29
471,166,194,29
472,166,194,29
478,166,194,29
479,166,194,29
499,166,194,29
500,166,194,29
502,166,194,29
503,166,194,29
506,166,194,29
507,166,194,29
654,166,194,29
655,166,194,29
81,166,194,29
82,166,194,29
89,166,194,29
90,166,194,29
169,167,194,28
170,167,194,28
263,167,194,28
264,167,194,28
266,167,194,28
267,167,194,28
30,167,194,28
31,167,194,28
333,167,194,28
334,167,194,28
412,167,194,28
413,167,194,28
428,167,194,28
429,167,194,28
456,167,194,28
457,167,194,28
509,167,194,28
510,167,194,28
525,167,194,28
526,167,194,28
620,167,194,28
621,167,194,28
8,167,194,28
9,167,194,28
184,168,194,27
185,168,194,27
213,168,194,27
214,168,194,27
223,168,194,27
224,168,194,27
379,168,194,27
380,168,194,27
393,168,194,27
394,168,194,27
397,168,194,27
398,168,194,27
405,168,194,27
406,168,194,27
569,168,194,27
570,168,194,27
71,168,194,27
72,168,194,27
74,168,194,27
75,168,194,27
11,169,194,26
12,169,194,26
341,169,194,26
342,169,194,26
344,169,194,26
345,169,194,26
351,169,194,26
352,169,194,26
382,169,194,26
383,169,194,26
42,169,194,26
43,169,194,26
439,169,194,26
440,169,194,26
46,169,194,26
47,169,194,26
582,169,194,26
583,169,194,26
23,170,194,25
24,170,194,25
26,170,194,25
27,170,194,25
312,170,194,25
313,170,194,25
436,170,194,25
437,170,194,25
468,170,194,25
469,170,194,25
491,170,194,25
492,170,194,25
521,170,194,25
522,170,194,25
57,170,194,25
572,170,194,25
573,170,194,25
58,170,194,25
613,170,194,25
614,170,194,25
616,170,194,25
617,170,194,25
700,170,194,25
701,170,194,25
117,171,194,24
118,171,194,24
135,171,194,24
136,171,194,24
166,171,194,24
167,171,194,24
247,171,194,24
248,171,194,24
309,171,194,24
310,171,194,24
372,171,194,24
373,171,194,24
375,171,194,24
376,171,194,24
181,172,194,23
182,172,194,23
220,172,194,23
221,172,194,23
294,172,194,23
295,172,194,23
301,172,194,23
302,172,194,23
364,172,194,23
365,172,194,23
367,172,194,23
368,172,194,23
39,172,194,23
40,172,194,23
424,172,194,23
425,172,194,23
623,172,194,23
624,172,194,23
697,172,194,23
698,172,194,23
270,173,194,22
271,173,194,22
138,174,194,21
139,174,194,21
316,174,194,21
317,174,194,21
319,174,194,21
320,174,194,21
390,174,194,21
391,174,194,21
484,174,194,21
485,174,194,21
494,174,194,21
495,174,194,21
666,174,194,21
667,174,194,21
232,175,194,20
233,175,194,20
297,175,194,20
298,175,194,20
487,175,194,20
488,175,194,20
536,175,194,20
537,175,194,20
585,175,194,20
586,175,194,20
105,176,194,19
106,176,194,19
254,176,194,19
255,176,194,19
360,176,194,19
361,176,194,19
576,176,194,19
577,176,194,19
628,176,194,19
629,176,194,19
244,177,194,18
245,177,194,18
251,177,194,18
252,177,194,18
443,177,194,18
444,177,194,18
446,177,194,18
447,177,194,18
635,177,194,18
636,177,194,18
675,177,194,18
676,177,194,18
102,178,194,17
103,178,194,17
54,178,194,17
55,178,194,17
198,179,194,16
199,179,194,16
357,179,194,16
358,179,194,16
545,179,194,16
546,179,194,16
669,179,194,16
670,179,194,16
201,180,194,15
202,180,194,15
229,180,194,15
230,180,194,15
552,181,194,14
553,181,194,14
693,181,194,14
694,181,194,14
594,182,194,13
595,182,194,13
638,182,194,13
639,182,194,13
236,183,194,12
237,183,194,12
599,183,194,12
600,183,194,12
631,183,194,12
632,183,194,12
690,183,194,12
691,183,194,12
659,185,194,10
660,185,194,10
239,186,194,9
240,186,194,9
662,186,194,9
663,186,194,9
548,190,194,5
549,190,194,5
528,192,194,3
529,192,194,3
555,192,194,3
556,192,194,3
